,station,max_departure,station_name,station_lat,station_lng,max_arrival
78,342,1.0,Kedzie Ave & 45th St,41.81,-87.7,1.0
79,345,1.0,Artesian Ave & 55th St,41.79,-87.69,1.0
80,349,1.0,Spaulding Ave & 63rd St,41.78,-87.71,0.0
81,350,1.0,Hamlin Ave & 62nd Pl,41.78,-87.72,2.0
82,351,1.0,Mulligan Ave & Wellington Ave,41.93,-87.78,1.0
83,353,1.0,Meade Ave & Diversey Ave,41.93,-87.78,1.0
84,354,1.0,Parkside Ave & Armitage Ave,41.92,-87.77,1.0
85,355,1.0,Central Ave & Parker Ave,41.93,-87.77,1.0
86,357,1.0,Lamon Ave & Armitage Ave,41.92,-87.75,1.0
87,359,1.0,Kilbourn & Belden,41.92,-87.74,1.0
88,364.0,1.0,Homan Ave & Fillmore St,41.87,-87.71,1.0
89,368.0,1.0,Tripp Ave & 31st St,41.84,-87.73,1.0
90,369,1.0,Central Park Ave & Ohio St,41.89,-87.72,2.0
91,370,1.0,Central Park & Augusta Blvd,41.9,-87.72,2.0
92,373,1.0,Augusta Blvd & Laramie Ave,41.9,-87.76,1.0
93,379,1.0,Rockwell St & Archer Ave,41.82,-87.69,2.0
94,383,1.0,Campbell Ave & 51st St,41.8,-87.69,1.0
95,384,1.0,Kedzie Ave & 52nd St,41.8,-87.7,1.0
96,386,1.0,Rockwell St & 57th St,41.79,-87.69,1.0
97,391,1.0,Rockwell St & 63rd St,41.78,-87.69,0.0
98,394,1.0,Panama Ave & Grace St,41.95,-87.83,1.0
99,395,1.0,Shabbona Park,41.94,-87.8,1.0
100,399,1.0,Lavergne Ave & 46th St,41.81,-87.75,1.0
101,400,1.0,Lawler Ave & 50th St,41.8,-87.75,2.0
102,401,1.0,Kildare Ave & 47th St,41.81,-87.73,1.0
103,402,1.0,Kenneth Ave & 50th St,41.8,-87.73,1.0
104,403,1.0,Kildare Ave & 55th St,41.79,-87.73,1.0
105,404,1.0,Pulaski Rd & 60th St,41.78,-87.72,1.0
106,414,1.0,Sacramento Blvd & Fulton Ave,41.89,-87.7,1.0
107,415,1.0,Western Ave & Lake St,41.88,-87.69,1.0
108,416,1.0,Washtenaw Ave & Madison St,41.88,-87.69,1.0
109,421,1.0,Albany Ave & Douglas Blvd,41.86,-87.7,2.0
110,424,1.0,Sacramento Ave & 25th St,41.85,-87.7,1.0
111,427,1.0,Whipple St & Roosevelt Rd,41.87,-87.7,1.0
112,452,1.0,Richmond St & Lincoln Ave,41.99,-87.7,2.0
113,458,1.0,Washtenaw Ave & Peterson Ave,41.99,-87.7,1.0
114,460,1.0,Francisco Ave & Hollywood Ave,41.98,-87.7,1.0
115,465,1.0,Troy Ave & 27th St,41.84,-87.7,1.0
116,473,1.0,Mason Ave & Belmont Ave,41.94,-87.77,1.0
117,480,1.0,Public Rack - Rockwell Ave & Touhy Ave ,42.01,-87.7,1.0
118,483,1.0,Public Rack - Western Ave & Jarvis Ave,42.02,-87.69,1.0
119,485,1.0,Public Rack - Sacramento Ave & Devon Ave,42.0,-87.7,1.0
120,486,1.0,Public Rack - California Ave & Devon Ave - NW,42.0,-87.7,1.0
121,487,1.0,Public Rack - California Ave & Devon Ave - NE,42.0,-87.7,1.0
122,489,1.0,Public Rack - Spaulding Ave & Bryn Mawr Ave,41.98,-87.71,1.0
123,491,1.0,Public Rack - Kedzie Ave & Argyle St,41.97,-87.71,2.0
124,492,1.0,Public Rack - Hamlin Ave & Montrose Ave,41.96,-87.72,1.0
125,493,1.0,Public Rack - St Louis Ave & Berteau Ave,41.96,-87.72,1.0
126,494,1.0,Public Rack - Avers Ave & Irving Park Rd,41.95,-87.73,2.0
127,497,1.0,Public Rack - Lowell Ave & Elston Ave,41.97,-87.74,2.0
128,498,1.0,Public Rack - Avondale Ave & Addison St,41.95,-87.72,1.0
129,500,1.0,Public Rack - Monticello Ave & Belmont Ave,41.94,-87.72,2.0
130,501,1.0,Public Rack - Milwaukee Ave & School St,41.94,-87.73,2.0
131,508,1.0,Public Rack - Pulaski Rd & Fullerton Ave,41.92,-87.73,1.0
132,509,1.0,Public Rack - Mozart Elementary School,41.92,-87.72,1.0
133,528,1.0,Pulaski Rd & Lake St,41.885409,-87.726491,1.0
134,530,1.0,Laramie Ave & Kinzie St,41.887832,-87.755527,1.0
136,538,1.0,Public Rack - Karlov Ave & 26th St,41.84,-87.73,1.0
137,539,1.0,Public Rack - Eli Whitney Public School,41.84,-87.73,1.0
138,544,1.0,Public Rack - Laramie Ave & Belmont Ave,41.94,-87.76,1.0
139,548,1.0,Public Rack - Cicero Ave & Altgeld St,41.93,-87.75,1.0
140,554,1.0,Damen Ave & 51st St,41.800913692,-87.674714446,1.0
141,556,1.0,Throop St & 52nd St,41.7996625,-87.6572035,2.0
142,560,1.0,Public Rack - Austin Ave & Roscoe St,41.94,-87.78,1.0
143,561,1.0,Damen Ave & 59th St,41.786040166666666,-87.674145,2.0
144,564,1.0,Public Rack - Austin Ave & Wellington Ave,41.94,-87.78,1.0
145,566,1.0,Public Rack - Narragansett Ave & Fullerton Ave,41.92,-87.78,1.0
146,567,1.0,May St & 69th St,41.768938,-87.652934,1.0
147,572,1.0,Hiawatha Park,41.94,-87.83,2.0
148,576,1.0,Greenwood Ave & 79th St,41.751294,-87.597552,2.0
149,577,1.0,Public Rack - Ozark Ave & Addison St,41.95,-87.82,2.0
150,580,1.0,Exchange Ave & 79th St,41.751731,-87.552812,1.0
151,583,1.0,Stony Island Ave & 82nd St,41.746559,-87.586005,1.0
152,586,1.0,MLK Jr Dr & 83rd St,41.743116,-87.6148,1.0
153,588,1.0,South Chicago Ave & 83rd St,41.743921,-87.575225,1.0
154,593,1.0,Halsted St & 59th St,41.787539,-87.644874,3.0
155,609,1.0,Calumet Ave & 103rd St,41.71,-87.62,0.0
156,621,1.0,Public Rack - Lafayette Ave & 95th St,41.72,-87.62,1.0
157,627,1.0,Public Rack - Halsted St & 95th St - SE,41.72,-87.64,0.0
158,503,1.0,Public Rack - Jonathan Y Scammon Public School,41.94,-87.73,1.0
159,641,1.0,Public Rack - Loomis St & 87th St,41.74,-87.66,1.0
161,647,1.0,Elizabeth St & 59th St,41.789862166666666,-87.65471183333334,1.0
162,652,1.0,Rhodes Ave & 71st St,41.766053557,-87.611715913,2.0
163,665,1.0,South Chicago Ave & Elliot Ave,41.747363,-87.580046,1.0
164,693,1.0,Public Rack - Walden Pkwy & 103rd St,41.71,-87.67,0.0
165,699,1.0,Cottage Grove Ave & 98th St,41.72,-87.6,2.0
166,702,1.0,Public Rack - Western Ave & 92nd Pl,41.73,-87.68,1.0
167,719,1.0,Ashland Ave & 76th St,41.76,-87.66,1.0
168,739,1.0,63rd & Western Ave - north corner,41.78,-87.68,1.0
169,749,1.0,Evans Ave & 63rd St,41.78,-87.61,1.0
170,752,1.0,Public Rack - Kimbark Ave & 63rd St,41.78,-87.59,0.0
171,756,1.0,Public  Rack - Albany Ave & 63rd St,41.78,-87.7,1.0
172,759,1.0,Springfield Ave & 63rd St,41.78,-87.72,1.0
173,767,1.0,Hyde Park Blvd & 53rd St,41.8,-87.58,2.0
174,768,1.0,Hyde Park Blvd & 55th St,41.8,-87.59,1.0
175,777,1.0,Public Rack - Midway Orange Line,41.79,-87.74,1.0
176,788,1.0,Public Rack - Greenwood Ave & Lake Park Ave,41.82,-87.6,1.0
177,794,1.0,Public Rack - Austin Branch Chicago Public Library,41.89,-87.77,1.0
178,801,1.0,Public Rack - N Narragansett Ave & Grand Ave,41.92,-87.78,1.0
179,805,1.0,Neva Ave & Grand Ave,41.92,-87.8,0.0
180,810,1.0,Nagle Ave & Belmont Ave,41.94,-87.79,1.0
181,811,1.0,Public Rack - Nordica Ave & Addison St,41.95,-87.8,0.0
182,819,1.0,Robert Fulton Elementary School,41.8,-87.67,1.0
183,821,1.0,Western Blvd & 49th St,41.8,-87.68,1.0
184,823,1.0,Public Rack - Kedzie Ave & 54th St - SE,41.79,-87.7,0.0
185,830,1.0,Public Rack - Pulaski & 52nd,41.8,-87.72,0.0
186,833,1.0,Public Rack - Pulaski Rd & 44th St,41.81,-87.72,1.0
187,834,1.0,Pulaski Rd & 40th St,41.82,-87.72,0.0
188,836,1.0,Public Rack - Kedzie Ave & Archer Ave,41.81,-87.7,1.0
189,857,1.0,Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,41.98,-87.71,1.0
190,858,1.0,Public Rack - Christiana Ave & Bryn Mawr Ave,41.98,-87.71,0.0
191,861,1.0,Public Rack - Sawyer Ave & Lawrence Ave,41.97,-87.71,1.0
192,876,1.0,Public Rack - Throop St & 109th Pl,41.69,-87.65,0.0
193,877,1.0,Racine Ave & 109th Pl,41.69,-87.65,3.0
194,904,1.0,Walden Pkwy & 99th St,41.71,-87.67,0.0
195,905,1.0,Yates Blvd & Exchange Ave,41.77,-87.57,1.0
196,911,1.0,Public Rack - Emerald Ave & 43rd St,41.82,-87.64,0.0
197,913,1.0,Public Rack - 532 E 43rd St,41.82,-87.61,2.0
198,916,1.0,Wood St & 47th St,41.81,-87.67,1.0
199,919,1.0,Public Rack - Pullman - Walmart,41.7,-87.6,1.0
200,929,1.0,Public Rack - Campbell Ave & Pratt Blvd,42.01,-87.69,1.0
201,931,1.0,Public Rack - Western Ave & Devon Ave,42.0,-87.69,1.0
202,935,1.0,Public Rack - Lorel Ave & Grand Ave,41.92,-87.76,0.0
203,937,1.0,Public Rack - King Dr & 115th St,41.69,-87.61,1.0
204,947,1.0,Public Rack - Exchange Ave & 73rd Pl,41.76,-87.56,1.0
205,948,1.0,Public Rack - South Shore Dr & 71st St,41.77,-87.56,1.0
206,950,1.0,Public Rack - Woodlawn Ave & 63rd St S,41.78,-87.6,1.0
207,951,1.0,Public Rack - Woodlawn Ave & 63rd St N,41.78,-87.6,2.0
208,956,1.0,Public Rack - King Dr & Oakwood Blvd,41.82,-87.62,0.0
209,957,1.0,Public Rack - Langley Ave & Oakwood Blvd,41.82,-87.61,0.0
210,958,1.0,Public Rack - State ST & 42nd St,41.82,-87.63,0.0
211,964,1.0,Public Rack - Lockwood Ave & Diversey Ave,41.93,-87.76,1.0
212,970,1.0,Public Rack - Roscoe St & Osceola Ave,41.94,-87.81,0.0
213,979,1.0,Public Rack - Ewing Ave & 107th St,41.7,-87.54,1.0
214,996,1.0,Public Rack - Ashland Ave & 63rd St,41.78,-87.66,1.0
215,999,1.0,Public Rack - Champlain Ave & 65th St,41.78,-87.61,0.0
216,KA1503000011,1.0,Halsted St & 56th St,41.79292964599,-87.6449900565,1.0
217,KA1503000028,1.0,Jeffery Blvd & 76th St,41.757129908,-87.575800419,1.0
218,KA1503000033,1.0,Eberhart Ave & 61st St,41.7841125,-87.61450266666667,3.0
219,KA1504000086,1.0,Kedzie Ave & 24th St,41.84817816666666,-87.70544216666667,2.0
220,KA1504000168,1.0,Western & 28th - Velasquez Institute Vaccination Site,41.841521263,-87.68516624,2.0
221,327,1.0,Plainfield & Irving Park,41.95,-87.83,1.0
222,340,1.0,Pulaski & Ann Lurie Pl,41.82,-87.72,2.0
223,397,1.0,Narragansett Ave & School St,41.94,-87.79,1.0
224,542,1.0,Public Rack - Chopin Park,41.94,-87.76,1.0
225,551,1.0,Public Rack - Cicero Ave & North Ave,41.91,-87.75,0.0
226,557,1.0,Seeley Ave & Garfield Blvd,41.794087,-87.675478,1.0
227,571,1.0,Vernon Ave & 75th St,41.758361,-87.614138,1.0
228,617,1.0,Morgan St & 95th St,41.72,-87.65,0.0
229,649,1.0,Stewart Ave & 63rd St,41.77984035,-87.6348176,1.0
230,814,1.0,Prairie Ave & 47th St - midblock,41.81,-87.62,0.0
231,829,1.0,Pulaski Rd & 51st Rd,41.8,-87.72,0.0
