,station,station_name,station_lat,station_lng,arrival_pred,demand_pred,difference
69,TA1307000153,Emerald Ave & 28th St,41.84358,-87.645368,2.0,8.0,-6.0
70,TA1308000002,Greenwood Ave & 47th St,41.809835,-87.599383,12.0,6.0,6.0
71,TA1308000026,Wentworth Ave & 24th St (Temp),41.850084,-87.632141,11.0,12.0,-1.0
72,TA1308000043,Halsted St & 35th St,41.830661,-87.647172,3.0,6.0,-3.0
73,523,Eastlake Ter & Rogers Ave,42.0208872805206,-87.66505792737007,15.0,5.0,10.0
74,TA1309000067,Cottage Grove Ave & 51st St,41.80294083333333,-87.6066475,2.0,1.0,1.0
75,KA1504000127,Manor Ave & Leland Ave,41.9659045,-87.700852,0.0,2.0,-2.0
76,TA1309000053,Cottage Grove Ave & 47th St,41.809855,-87.606755,3.0,4.0,-1.0
77,13134,Damen Ave & Madison St,41.88137,-87.67493,0.0,11.0,-11.0
78,13292,Kedzie Ave & Palmer Ct,41.921525,-87.707322,4.0,12.0,-8.0
79,13432,Wood St & Hubbard St,41.889883161,-87.671482682,1.0,16.0,-15.0
80,15621,Albany Ave & Montrose Ave,41.96102183333333,-87.705892,15.0,13.0,2.0
81,15632,Talman Ave & Addison St,41.94664333333333,-87.69463233333333,7.0,3.0,4.0
82,15634,Western Ave & Roscoe St,41.943234,-87.68733066666667,3.0,5.0,-2.0
83,15646,California Ave & Altgeld St,41.92669,-87.697668,14.0,0.0,14.0
84,15648,Campbell Ave & Fullerton Ave,41.92463247165,-87.6893070063,2.0,3.0,-1.0
85,15652,Central Park Ave & North Ave,41.90965687563,-87.7166319516,0.0,0.0,0.0
86,15682,Kedzie Ave & Roosevelt Rd,41.8665215,-87.7065285,0.0,0.0,0.0
87,18017,Central Park Ave & Bloomingdale Ave,41.914166,-87.716755,3.0,10.0,-7.0
88,20.0,Damen Ave & Wabansia Ave,41.91,-87.68,0.0,0.0,0.0
89,20251.0,N Carpenter St & W Lake St,41.89,-87.65,0.0,4.0,-4.0
90,20256.0,N Sheffield Ave & W Wellington Ave,41.94,-87.65,12.0,4.0,8.0
91,20257.0,N Southport Ave & W Newport Ave,41.94,-87.66,0.0,0.0,0.0
92,605,University Library (NU),42.052939,-87.673447,0.0,4.0,-4.0
93,KA1504000080,Washtenaw Ave & Lawrence Ave,41.9688515,-87.69620566666667,0.0,1.0,-1.0
94,KA1504000090,St. Louis Ave & Fullerton Ave,41.92481559681187,-87.71449506282805,0.0,5.0,-5.0
95,KA150400009X,Kimball Ave & Belmont Ave,41.939443231,-87.711554408,1.0,4.0,-3.0
96,KA1504000143,Leavitt St & Addison St,41.946655,-87.683359,20.0,16.0,4.0
97,KA1504000160,Francisco Ave & Foster Ave,41.97568966666667,-87.70144283333333,0.0,0.0,0.0
98,KA1504000162,Clark St & Lunt Ave,42.00901118058077,-87.67411172389984,1.0,32.0,-31.0
